anio,concepto,rotulo,documento_origen,estado_financiero,pagina,nota,evidencia_linea,valor_pdf,valor_consolidado,coincide,estado,confianza
2024,b_activos_intangibles,Activos intangibles,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,"Activos intangibles, neto 16 9.220 9.112",9220,9220.0,True,ACEPTADO,ALTA
2025,b_activos_intangibles,Activos intangibles,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Activos intangibles, neto 16 9.214 9.220",9214,9214.0,True,ACEPTADO,ALTA
2020,b_activo_total,Total activos,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total de Activos $ 348.286 $ 359.005,359005,359005.0,True,ACEPTADO,ALTA
2021,b_activo_total,Total activos,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total de Activos $ 348.286 $ 359.005,348286,348286.0,True,ACEPTADO,ALTA
2022,b_activo_total,Total activos,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total de Activos $ 334.823 $ 348.286,334823,334823.0,True,ACEPTADO,ALTA
2023,b_activo_total,Total activos,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total de Activos $ 375.984 $ 334.823,375984,375984.0,True,ACEPTADO,ALTA
2024,b_activo_total,Total activos,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,"Total, de Activos $ 314.960 $ 375.984",314960,314960.0,True,ACEPTADO,ALTA
2025,b_activo_total,Total activos,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Total, de Activos $ 348.129 $ 314.960",348129,348129.0,True,ACEPTADO,ALTA
2020,b_cuentas_por_pagar,Cuentas por pagar,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Cuentas comerciales por pagar y otras cuentas por pagar 16 32.271 28.371,28371,28371.0,True,ACEPTADO,ALTA
2021,b_cuentas_por_pagar,Cuentas por pagar,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Cuentas comerciales por pagar y otras cuentas por pagar 16 32.271 28.371,32271,32271.0,True,ACEPTADO,ALTA
2022,b_cuentas_por_pagar,Cuentas por pagar,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Cuentas comerciales por pagar y otras cuentas por pagar 15 27.417 32.271,27417,27417.0,True,ACEPTADO,ALTA
2023,b_cuentas_por_pagar,Cuentas por pagar,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Cuentas comerciales por pagar y otras cuentas por pagar 16 35.040 27.417,35040,35040.0,True,ACEPTADO,ALTA
2024,b_cuentas_por_pagar,Cuentas por pagar,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,Cuentas comerciales por pagar y otras cuentas por pagar 17 21.184 35.040,21184,21184.0,True,ACEPTADO,ALTA
2025,b_cuentas_por_pagar,Cuentas por pagar,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Cuentas comerciales por pagar y otras cuentas por pagar 17 18.123 21.184,18123,18123.0,True,ACEPTADO,ALTA
2020,b_derecho_uso_pasivo,Derecho de uso (pasivo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Derecho en uso pasivo 18 7.767 9.689,9689,9689.0,True,ACEPTADO,ALTA
2021,b_derecho_uso_pasivo,Derecho de uso (pasivo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Derecho en uso pasivo 18 7.767 9.689,7767,7767.0,True,ACEPTADO,ALTA
2022,b_derecho_uso_pasivo,Derecho de uso (pasivo),Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Derecho en uso pasivo 17 6.207 7.767,6207,6207.0,True,ACEPTADO,ALTA
2023,b_derecho_uso_pasivo,Derecho de uso (pasivo),Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Derecho en uso pasivo 17 6.331 6.207,6331,6331.0,True,ACEPTADO,ALTA
2024,b_derecho_uso_pasivo,Derecho de uso (pasivo),Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,Derecho en uso pasivo 18 6.117 6.331,6117,6117.0,True,ACEPTADO,ALTA
2025,b_derecho_uso_pasivo,Derecho de uso (pasivo),Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Derecho en uso pasivo 18 5.306 6.117,5306,5306.0,True,ACEPTADO,ALTA
2020,b_beneficios_empleados,Beneficios a empleados,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Pasivo por beneficios a los empleados 19 3.189 5.102,5102,5102.0,True,ACEPTADO,ALTA
2021,b_beneficios_empleados,Beneficios a empleados,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Pasivo por beneficios a los empleados 19 3.189 5.102,3189,3189.0,True,ACEPTADO,ALTA
2022,b_beneficios_empleados,Beneficios a empleados,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Pasivo por beneficios a los empleados 18 4.084 3.189,4084,4084.0,True,ACEPTADO,ALTA
2023,b_beneficios_empleados,Beneficios a empleados,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Pasivo por beneficios a los empleados 18 4.487 4.084,4487,4487.0,True,ACEPTADO,ALTA
2024,b_beneficios_empleados,Beneficios a empleados,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,Pasivo por beneficios a los empleados 19 5.094 4.487,5094,5094.0,True,ACEPTADO,ALTA
2025,b_beneficios_empleados,Beneficios a empleados,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Pasivo por beneficios a los empleados 19 8.461 5.094,8461,8461.0,True,ACEPTADO,ALTA
2020,b_provisiones,Provisiones,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Provisiones 22 16.413 13.111,13111,13111.0,True,ACEPTADO,ALTA
2021,b_provisiones,Provisiones,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Provisiones 22 16.413 13.111,16413,16413.0,True,ACEPTADO,ALTA
2022,b_provisiones,Provisiones,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Provisiones 21 22.130 16.413,22130,22130.0,True,ACEPTADO,ALTA
2023,b_provisiones,Provisiones,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Procesos Judiciales 21 23.651 22.130,23651,23651.0,True,ACEPTADO,ALTA
2024,b_provisiones,Provisiones,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,Procesos Judiciales 20 23.286 23.651,23286,23286.0,True,ACEPTADO,ALTA
2025,b_provisiones,Provisiones,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Procesos Judiciales 20 22.464 23.286,22464,22464.0,True,ACEPTADO,ALTA
2020,b_impuesto_corriente_pasivo,Impuesto corriente (pasivo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Pasivo Por Impuesto A Las Ganancias Corrientes, Neto 20 2.276 -",,,True,ACEPTADO,ALTA
2021,b_impuesto_corriente_pasivo,Impuesto corriente (pasivo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Pasivo Por Impuesto A Las Ganancias Corrientes, Neto 20 2.276 -",2276,2276.0,True,ACEPTADO,ALTA
2022,b_impuesto_corriente_pasivo,Impuesto corriente (pasivo),Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Pasivo Por Impuesto A Las Ganancias Corrientes, Neto 19 7.978 2.276",7978,7978.0,True,ACEPTADO,ALTA
