grupo,check,anio,formula,izquierda,derecha,diferencia_abs,diferencia_rel,estado
I_Reproducibilidad,EBIT id25 desde componentes,2021,EBIT = utilidad_bruta - gastos_gen - deterioro + otros,94982.0,94982.0,0.0,0.0,ACEPTADO
I_Reproducibilidad,EBIT id25 desde componentes,2022,EBIT = utilidad_bruta - gastos_gen - deterioro + otros,92975.0,92975.0,0.0,0.0,ACEPTADO
I_Reproducibilidad,EBIT id25 desde componentes,2023,EBIT = utilidad_bruta - gastos_gen - deterioro + otros,68527.0,68527.0,0.0,0.0,ACEPTADO
I_Reproducibilidad,EBIT id25 desde componentes,2024,EBIT = utilidad_bruta - gastos_gen - deterioro + otros,39454.0,39454.0,0.0,0.0,ACEPTADO
I_Reproducibilidad,EBIT id25 desde componentes,2025,EBIT = utilidad_bruta - gastos_gen - deterioro + otros,55943.0,55943.0,0.0,0.0,ACEPTADO
I_Reproducibilidad,ROIC id34 = (EBIT-corr)/avg CI,2020,ROIC = (EBIT - imp_corriente) / ((CI_t + CI_t-1)/2),,,,,NO_ENCONTRADO
I_Reproducibilidad,ROIC id34 = (EBIT-corr)/avg CI,2021,ROIC = (EBIT - imp_corriente) / ((CI_t + CI_t-1)/2),0.769098,0.769098,0.0,0.0,ACEPTADO
I_Reproducibilidad,ROIC id34 = (EBIT-corr)/avg CI,2022,ROIC = (EBIT - imp_corriente) / ((CI_t + CI_t-1)/2),0.696987,0.696987,0.0,0.0,ACEPTADO
I_Reproducibilidad,ROIC id34 = (EBIT-corr)/avg CI,2023,ROIC = (EBIT - imp_corriente) / ((CI_t + CI_t-1)/2),0.336844,0.336844,0.0,0.0,ACEPTADO
I_Reproducibilidad,ROIC id34 = (EBIT-corr)/avg CI,2024,ROIC = (EBIT - imp_corriente) / ((CI_t + CI_t-1)/2),0.223575,0.223575,0.0,0.0,ACEPTADO
I_Reproducibilidad,ROIC id34 = (EBIT-corr)/avg CI,2025,ROIC = (EBIT - imp_corriente) / ((CI_t + CI_t-1)/2),0.365617,0.365617,0.0,0.0,ACEPTADO
J_NOPAT_Art240,ROIC estatutario Art. 240,2020,"Requiere EBIT, CI_t, CI_t-1",,,,,NO_ENCONTRADO
J_NOPAT_Art240,ROIC con tasa estatutaria Art. 240,2021,ROIC_stat = EBIT*(1-T_art240)/avg CI  vs  ROIC id34,0.812235,0.769098,0.043136,0.056087,DUDOSO
J_NOPAT_Art240,ROIC con tasa estatutaria Art. 240,2022,ROIC_stat = EBIT*(1-T_art240)/avg CI  vs  ROIC id34,0.824382,0.696987,0.127396,0.182781,DUDOSO
J_NOPAT_Art240,ROIC con tasa estatutaria Art. 240,2023,ROIC_stat = EBIT*(1-T_art240)/avg CI  vs  ROIC id34,0.569387,0.336844,0.232542,0.690355,DUDOSO
J_NOPAT_Art240,ROIC con tasa estatutaria Art. 240,2024,ROIC_stat = EBIT*(1-T_art240)/avg CI  vs  ROIC id34,0.32801,0.223575,0.104434,0.467111,DUDOSO
J_NOPAT_Art240,ROIC con tasa estatutaria Art. 240,2025,ROIC_stat = EBIT*(1-T_art240)/avg CI  vs  ROIC id34,0.468163,0.365617,0.102547,0.280476,DUDOSO
K_WACC_Fase7,WACC recalculado = fase7,2020,WACC = Kd*(1-T)*wd + ROIC*we,,,,,NO_ENCONTRADO
K_WACC_Fase7,WACC recalculado = fase7,2021,WACC = Kd*(1-T)*wd + ROIC*we,0.750317,0.750317,0.0,0.0,ACEPTADO
